group,id,course,semester,grade
1,61,History of Feudal Japan,2,7.5
1,61,History of Feudal Japan,2,5.5
1,61,History of Feudal Japan,2,12.5
1,61,Kenjutsu and Swordsmanship,2,13.3
1,61,Kenjutsu and Swordsmanship,2,13.5
1,61,Kenjutsu and Swordsmanship,2,8.6
1,61,Ninjutsu and Stealth Arts,1,11
1,61,Ninjutsu and Stealth Arts,1,12
1,61,Ninjutsu and Stealth Arts,1,9
1,61,Ninjutsu and Stealth Arts,1,6.5
1,61,Ninjutsu and Stealth Arts,1,11.5
1,61,Ninjutsu and Stealth Arts,1,12.5
1,61,Ninjutsu and Stealth Arts,1,11
1,61,Onmyodo and Occult Arts,1,12.5
1,61,Onmyodo and Occult Arts,1,10.5
1,61,Onmyodo and Occult Arts,1,11
1,61,Onmyodo and Occult Arts,1,12
1,61,Onmyodo and Occult Arts,1,14.5
1,61,Onmyodo and Occult Arts,1,7.5
1,61,Shinto and Buddhist Philosophy,2,14.5
1,61,Shinto and Buddhist Philosophy,2,15.5
1,61,Shinto and Buddhist Philosophy,2,17
1,61,Shinto and Buddhist Philosophy,2,12.25
1,61,Shinto and Buddhist Philosophy,2,12.25
1,61,Shinto and Buddhist Philosophy,2,9.5
1,61,Strategy and Tactics,2,12
1,61,Strategy and Tactics,2,13
1,61,Strategy and Tactics,2,13.5
1,61,Tea Ceremony and Zen Meditation,1,7.25
1,61,Tea Ceremony and Zen Meditation,1,6.75
1,61,Tea Ceremony and Zen Meditation,1,7.25
1,61,Tea Ceremony and Zen Meditation,1,5.25
1,61,Tea Ceremony and Zen Meditation,1,7.25
1,110,Archery and Marksmanship,1,7.5
1,110,Archery and Marksmanship,1,9.75
1,110,Archery and Marksmanship,1,5.25
1,110,Archery and Marksmanship,1,11
1,110,Bushido and Samurai Code,1,12.75
1,110,Bushido and Samurai Code,1,14.5
1,110,Bushido and Samurai Code,1,11.75
1,110,Bushido and Samurai Code,1,12.5
1,110,Bushido and Samurai Code,1,11.5
1,110,Bushido and Samurai Code,1,10.25
1,110,Bushido and Samurai Code,1,7.5
1,110,Bushido and Samurai Code,1,11.75
1,110,Calligraphy and Poetry,2,9.25
1,110,Calligraphy and Poetry,2,9.25
1,110,Calligraphy and Poetry,2,9.25
1,110,Calligraphy and Poetry,2,9.25
1,110,Calligraphy and Poetry,2,9.75
1,110,Calligraphy and Poetry,2,10.25
1,110,History of Feudal Japan,2,11
1,110,History of Feudal Japan,2,7.5
1,110,History of Feudal Japan,2,11
1,110,Kenjutsu and Swordsmanship,2,10.1
1,110,Kenjutsu and Swordsmanship,2,12
1,110,Ninjutsu and Stealth Arts,1,16.5
1,110,Ninjutsu and Stealth Arts,1,9
1,110,Ninjutsu and Stealth Arts,1,12
1,110,Ninjutsu and Stealth Arts,1,6
1,110,Ninjutsu and Stealth Arts,1,13
1,110,Ninjutsu and Stealth Arts,1,6
1,110,Ninjutsu and Stealth Arts,1,13.5
1,110,Onmyodo and Occult Arts,1,16.5
1,110,Onmyodo and Occult Arts,1,13.5
1,110,Onmyodo and Occult Arts,1,13
1,110,Onmyodo and Occult Arts,1,8
1,110,Onmyodo and Occult Arts,1,10
1,110,Onmyodo and Occult Arts,1,11
1,110,Shinto and Buddhist Philosophy,2,16.75
1,110,Shinto and Buddhist Philosophy,2,10.5
1,110,Shinto and Buddhist Philosophy,2,15.75
1,110,Shinto and Buddhist Philosophy,2,12.5
1,110,Shinto and Buddhist Philosophy,2,12.25
1,110,Shinto and Buddhist Philosophy,2,13
1,110,Strategy and Tactics,2,10
1,110,Strategy and Tactics,2,12.5
1,110,Strategy and Tactics,2,9
1,110,Tea Ceremony and Zen Meditation,1,7.25
1,110,Tea Ceremony and Zen Meditation,1,8.5
1,110,Tea Ceremony and Zen Meditation,1,5.5
1,110,Tea Ceremony and Zen Meditation,1,8.25
1,110,Tea Ceremony and Zen Meditation,1,5.25
1,147,Archery and Marksmanship,1,7.25
1,147,Archery and Marksmanship,1,9
1,147,Archery and Marksmanship,1,6.5
1,147,Archery and Marksmanship,1,7.75
1,147,Bushido and Samurai Code,1,12
1,147,Bushido and Samurai Code,1,11.75
1,147,Bushido and Samurai Code,1,10.25
1,147,Bushido and Samurai Code,1,8.5
1,147,Bushido and Samurai Code,1,6.5
1,147,Bushido and Samurai Code,1,14.25
1,147,Bushido and Samurai Code,1,13.75
1,147,Bushido and Samurai Code,1,15
1,147,Calligraphy and Poetry,2,9
1,147,Calligraphy and Poetry,2,9.75
1,147,Calligraphy and Poetry,2,11.5
1,147,Calligraphy and Poetry,2,8
1,147,Calligraphy and Poetry,2,10
1,147,Calligraphy and Poetry,2,9.75
1,147,History of Feudal Japan,2,8
1,147,History of Feudal Japan,2,10
1,147,History of Feudal Japan,2,14
1,147,Kenjutsu and Swordsmanship,2,16.9
1,147,Kenjutsu and Swordsmanship,2,7.5
1,147,Kenjutsu and Swordsmanship,2,16.8
1,147,Ninjutsu and Stealth Arts,1,13
1,147,Ninjutsu and Stealth Arts,1,14
1,147,Ninjutsu and Stealth Arts,1,9
1,147,Ninjutsu and Stealth Arts,1,10
1,147,Ninjutsu and Stealth Arts,1,10.5
1,147,Ninjutsu and Stealth Arts,1,13
1,147,Ninjutsu and Stealth Arts,1,7.5
1,147,Onmyodo and Occult Arts,1,13
1,147,Onmyodo and Occult Arts,1,9.5
1,147,Onmyodo and Occult Arts,1,10.5
1,147,Onmyodo and Occult Arts,1,9
1,147,Onmyodo and Occult Arts,1,12.5
1,147,Onmyodo and Occult Arts,1,13.5
1,147,Shinto and Buddhist Philosophy,2,19.5
1,147,Shinto and Buddhist Philosophy,2,15.25
1,147,Shinto and Buddhist Philosophy,2,17
1,147,Shinto and Buddhist Philosophy,2,10.75
1,147,Shinto and Buddhist Philosophy,2,10
1,147,Shinto and Buddhist Philosophy,2,16
1,147,Strategy and Tactics,2,10.5
1,147,Strategy and Tactics,2,9.5
1,147,Strategy and Tactics,2,10
1,147,Tea Ceremony and Zen Meditation,1,8.75
1,147,Tea Ceremony and Zen Meditation,1,6
1,147,Tea Ceremony and Zen Meditation,1,6.75
1,147,Tea Ceremony and Zen Meditation,1,9
1,153,Archery and Marksmanship,1,9.75
1,153,Archery and Marksmanship,1,5.25
1,153,Archery and Marksmanship,1,6.5
1,153,Archery and Marksmanship,1,5.75
1,153,Archery and Marksmanship,1,8
1,153,Bushido and Samurai Code,1,12
1,153,Bushido and Samurai Code,1,15.5
1,153,Bushido and Samurai Code,1,12
1,153,Bushido and Samurai Code,1,12
1,153,Bushido and Samurai Code,1,16.25
1,153,Bushido and Samurai Code,1,10.75
1,153,Bushido and Samurai Code,1,11
1,153,Bushido and Samurai Code,1,11.5
1,153,Calligraphy and Poetry,2,10.75
1,153,Calligraphy and Poetry,2,10.5
1,153,Calligraphy and Poetry,2,12.75
1,153,Calligraphy and Poetry,2,11.5
1,153,Calligraphy and Poetry,2,9.5
1,153,Calligraphy and Poetry,2,10.25
1,153,History of Feudal Japan,2,8
1,153,History of Feudal Japan,2,11
1,153,History of Feudal Japan,2,1.5
1,153,Kenjutsu and Swordsmanship,2,20
1,153,Kenjutsu and Swordsmanship,2,10.9
1,153,Kenjutsu and Swordsmanship,2,15
1,153,Ninjutsu and Stealth Arts,1,8
1,153,Ninjutsu and Stealth Arts,1,13
1,153,Ninjutsu and Stealth Arts,1,14.5
1,153,Ninjutsu and Stealth Arts,1,7
1,153,Ninjutsu and Stealth Arts,1,12.5
1,153,Ninjutsu and Stealth Arts,1,13
1,153,Onmyodo and Occult Arts,1,11.5
1,153,Onmyodo and Occult Arts,1,10.5
1,153,Onmyodo and Occult Arts,1,12
1,153,Onmyodo and Occult Arts,1,10.5
1,153,Onmyodo and Occult Arts,1,10.5
1,153,Onmyodo and Occult Arts,1,11.5
1,153,Shinto and Buddhist Philosophy,2,15.5
1,153,Shinto and Buddhist Philosophy,2,12.25
1,153,Shinto and Buddhist Philosophy,2,10.75
1,153,Shinto and Buddhist Philosophy,2,19
1,153,Shinto and Buddhist Philosophy,2,15
1,153,Shinto and Buddhist Philosophy,2,14
1,153,Strategy and Tactics,2,7.5
1,153,Strategy and Tactics,2,12
1,153,Strategy and Tactics,2,10
1,153,Tea Ceremony and Zen Meditation,1,8
1,153,Tea Ceremony and Zen Meditation,1,10.5
1,153,Tea Ceremony and Zen Meditation,1,8.75
1,153,Tea Ceremony and Zen Meditation,1,7.75
1,162,Archery and Marksmanship,1,1
1,162,Archery and Marksmanship,1,6.25
1,162,Archery and Marksmanship,1,5.75
1,162,Archery and Marksmanship,1,8
1,162,Archery and Marksmanship,1,3.5
1,162,Bushido and Samurai Code,1,12
1,162,Bushido and Samurai Code,1,9
1,162,Bushido and Samurai Code,1,10.25
1,162,Bushido and Samurai Code,1,8.75
1,162,Bushido and Samurai Code,1,13.75
1,162,Bushido and Samurai Code,1,11.75
1,162,Bushido and Samurai Code,1,8.25
1,162,Bushido and Samurai Code,1,12.25
1,162,Calligraphy and Poetry,2,9.25
1,162,Calligraphy and Poetry,2,10.5
1,162,Calligraphy and Poetry,2,10.25
1,162,Calligraphy and Poetry,2,10.5
1,162,Calligraphy and Poetry,2,7.25
1,162,Calligraphy and Poetry,2,10.75
1,162,History of Feudal Japan,2,12.5
1,162,History of Feudal Japan,2,14.5
1,162,History of Feudal Japan,2,12
1,162,Kenjutsu and Swordsmanship,2,18.1
1,162,Kenjutsu and Swordsmanship,2,18.4
1,162,Kenjutsu and Swordsmanship,2,13.8
1,162,Ninjutsu and Stealth Arts,1,9.5
1,162,Ninjutsu and Stealth Arts,1,11
1,162,Ninjutsu and Stealth Arts,1,7.5
1,162,Ninjutsu and Stealth Arts,1,10
1,162,Ninjutsu and Stealth Arts,1,13
1,162,Ninjutsu and Stealth Arts,1,12.5
1,162,Ninjutsu and Stealth Arts,1,13
1,162,Onmyodo and Occult Arts,1,8.5
1,162,Onmyodo and Occult Arts,1,13
1,162,Onmyodo and Occult Arts,1,9.5
1,162,Onmyodo and Occult Arts,1,10
1,162,Onmyodo and Occult Arts,1,9
1,162,Shinto and Buddhist Philosophy,2,10.75
1,162,Shinto and Buddhist Philosophy,2,15
1,162,Shinto and Buddhist Philosophy,2,15
1,162,Shinto and Buddhist Philosophy,2,20
1,162,Shinto and Buddhist Philosophy,2,14.5
1,162,Shinto and Buddhist Philosophy,2,15.75
1,162,Strategy and Tactics,2,11
1,162,Strategy and Tactics,2,12
1,162,Strategy and Tactics,2,9.5
1,162,Tea Ceremony and Zen Meditation,1,7.75
1,162,Tea Ceremony and Zen Meditation,1,7.75
1,162,Tea Ceremony and Zen Meditation,1,7.75
1,162,Tea Ceremony and Zen Meditation,1,7.75
1,162,Tea Ceremony and Zen Meditation,1,8.75
1,176,Archery and Marksmanship,1,10.75
1,176,Archery and Marksmanship,1,8.5
1,176,Archery and Marksmanship,1,7.5
1,176,Archery and Marksmanship,1,6
1,176,Archery and Marksmanship,1,9.25
1,176,Bushido and Samurai Code,1,10.75
1,176,Bushido and Samurai Code,1,11.25
1,176,Bushido and Samurai Code,1,16.25
1,176,Bushido and Samurai Code,1,12
1,176,Bushido and Samurai Code,1,14.5
1,176,Bushido and Samurai Code,1,7.25
1,176,Calligraphy and Poetry,2,10
1,176,Calligraphy and Poetry,2,8
1,176,Calligraphy and Poetry,2,7.5
1,176,Calligraphy and Poetry,2,9.5
1,176,Calligraphy and Poetry,2,10.25
1,176,Calligraphy and Poetry,2,11.75
1,176,History of Feudal Japan,2,10
1,176,History of Feudal Japan,2,10
1,176,History of Feudal Japan,2,7
1,176,Kenjutsu and Swordsmanship,2,13.2
1,176,Kenjutsu and Swordsmanship,2,10.9
1,176,Ninjutsu and Stealth Arts,1,11
1,176,Ninjutsu and Stealth Arts,1,11.5
1,176,Ninjutsu and Stealth Arts,1,8.5
1,176,Ninjutsu and Stealth Arts,1,14.5
1,176,Ninjutsu and Stealth Arts,1,11
1,176,Ninjutsu and Stealth Arts,1,13.5
1,176,Ninjutsu and Stealth Arts,1,6.5
1,176,Onmyodo and Occult Arts,1,14
1,176,Onmyodo and Occult Arts,1,11
1,176,Onmyodo and Occult Arts,1,14
1,176,Onmyodo and Occult Arts,1,12
1,176,Onmyodo and Occult Arts,1,13.5
1,176,Onmyodo and Occult Arts,1,14.5
1,176,Shinto and Buddhist Philosophy,2,13.25
1,176,Shinto and Buddhist Philosophy,2,11.5
1,176,Shinto and Buddhist Philosophy,2,12.25
1,176,Shinto and Buddhist Philosophy,2,9.25
1,176,Shinto and Buddhist Philosophy,2,12.25
1,176,Shinto and Buddhist Philosophy,2,10.5
1,176,Strategy and Tactics,2,12.5
1,176,Strategy and Tactics,2,11.5
1,176,Strategy and Tactics,2,10
1,176,Tea Ceremony and Zen Meditation,1,8
1,176,Tea Ceremony and Zen Meditation,1,7
1,176,Tea Ceremony and Zen Meditation,1,7.25
1,176,Tea Ceremony and Zen Meditation,1,6.75
1,176,Tea Ceremony and Zen Meditation,1,6.75
1,191,Archery and Marksmanship,1,6.75
1,191,Archery and Marksmanship,1,6
1,191,Archery and Marksmanship,1,4.75
1,191,Archery and Marksmanship,1,5.25
1,191,Archery and Marksmanship,1,5
1,191,Bushido and Samurai Code,1,9
1,191,Bushido and Samurai Code,1,13.25
1,191,Bushido and Samurai Code,1,11.75
1,191,Bushido and Samurai Code,1,9.75
1,191,Bushido and Samurai Code,1,12.5
1,191,Bushido and Samurai Code,1,12.75
1,191,Bushido and Samurai Code,1,13
1,191,Bushido and Samurai Code,1,13.5
1,191,Calligraphy and Poetry,2,9.75
1,191,Calligraphy and Poetry,2,12.5
1,191,Calligraphy and Poetry,2,10.25
1,191,Calligraphy and Poetry,2,11
1,191,Calligraphy and Poetry,2,10
1,191,Calligraphy and Poetry,2,9.25
1,191,History of Feudal Japan,2,11
1,191,History of Feudal Japan,2,8
1,191,History of Feudal Japan,2,7
1,191,Kenjutsu and Swordsmanship,2,12.5
1,191,Ninjutsu and Stealth Arts,1,12
1,191,Ninjutsu and Stealth Arts,1,8.5
1,191,Ninjutsu and Stealth Arts,1,10
1,191,Ninjutsu and Stealth Arts,1,7.5
1,191,Ninjutsu and Stealth Arts,1,9
1,191,Ninjutsu and Stealth Arts,1,10.5
1,191,Ninjutsu and Stealth Arts,1,13
1,191,Onmyodo and Occult Arts,1,10.5
1,191,Onmyodo and Occult Arts,1,11
1,191,Onmyodo and Occult Arts,1,12.5
1,191,Onmyodo and Occult Arts,1,11.5
1,191,Onmyodo and Occult Arts,1,12.5
1,191,Onmyodo and Occult Arts,1,12
1,191,Shinto and Buddhist Philosophy,2,15.5
1,191,Shinto and Buddhist Philosophy,2,11.75
1,191,Shinto and Buddhist Philosophy,2,10.25
1,191,Shinto and Buddhist Philosophy,2,14.25
1,191,Shinto and Buddhist Philosophy,2,16
1,191,Shinto and Buddhist Philosophy,2,16.25
1,191,Strategy and Tactics,2,8
1,191,Strategy and Tactics,2,16
1,191,Strategy and Tactics,2,10
1,191,Tea Ceremony and Zen Meditation,1,8
1,191,Tea Ceremony and Zen Meditation,1,8
1,191,Tea Ceremony and Zen Meditation,1,6.75
1,191,Tea Ceremony and Zen Meditation,1,7
1,192,Archery and Marksmanship,1,7
1,192,Archery and Marksmanship,1,4.75
1,192,Archery and Marksmanship,1,6.25
1,192,Archery and Marksmanship,1,9.5
1,192,Archery and Marksmanship,1,8.5
1,192,Bushido and Samurai Code,1,14.5
1,192,Bushido and Samurai Code,1,12.5
1,192,Bushido and Samurai Code,1,11.75
1,192,Bushido and Samurai Code,1,7.25
1,192,Bushido and Samurai Code,1,8
1,192,Bushido and Samurai Code,1,15
1,192,Calligraphy and Poetry,2,9
1,192,Calligraphy and Poetry,2,10
1,192,Calligraphy and Poetry,2,8.5
1,192,Calligraphy and Poetry,2,8.25
1,192,Calligraphy and Poetry,2,9.5
1,192,Calligraphy and Poetry,2,10.25
1,192,History of Feudal Japan,2,7.5
1,192,History of Feudal Japan,2,12.5
1,192,History of Feudal Japan,2,8
1,192,Kenjutsu and Swordsmanship,2,14.2
1,192,Kenjutsu and Swordsmanship,2,17.5
1,192,Kenjutsu and Swordsmanship,2,16.4
1,192,Ninjutsu and Stealth Arts,1,11
1,192,Ninjutsu and Stealth Arts,1,10
1,192,Ninjutsu and Stealth Arts,1,9
1,192,Ninjutsu and Stealth Arts,1,10.5
1,192,Ninjutsu and Stealth Arts,1,7
1,192,Ninjutsu and Stealth Arts,1,7
1,192,Ninjutsu and Stealth Arts,1,10.5
1,192,Onmyodo and Occult Arts,1,9.5
1,192,Onmyodo and Occult Arts,1,9
1,192,Onmyodo and Occult Arts,1,10
1,192,Onmyodo and Occult Arts,1,11
1,192,Onmyodo and Occult Arts,1,10
1,192,Onmyodo and Occult Arts,1,10.5
1,192,Shinto and Buddhist Philosophy,2,12
1,192,Shinto and Buddhist Philosophy,2,18.25
1,192,Shinto and Buddhist Philosophy,2,14.5
1,192,Shinto and Buddhist Philosophy,2,15.75
1,192,Shinto and Buddhist Philosophy,2,12.25
1,192,Shinto and Buddhist Philosophy,2,18
1,192,Strategy and Tactics,2,10
1,192,Strategy and Tactics,2,15.5
1,192,Tea Ceremony and Zen Meditation,1,7
1,192,Tea Ceremony and Zen Meditation,1,9
1,192,Tea Ceremony and Zen Meditation,1,9.25
1,192,Tea Ceremony and Zen Meditation,1,8.5
1,192,Tea Ceremony and Zen Meditation,1,5.25
1,280,Archery and Marksmanship,1,3
1,280,Archery and Marksmanship,1,10.5
1,280,Archery and Marksmanship,1,4.25
1,280,Archery and Marksmanship,1,7.5
1,280,Archery and Marksmanship,1,4
1,280,Bushido and Samurai Code,1,11.25
1,280,Bushido and Samurai Code,1,9.75
1,280,Bushido and Samurai Code,1,9.25
1,280,Bushido and Samurai Code,1,15.75
1,280,Bushido and Samurai Code,1,10.5
1,280,Bushido and Samurai Code,1,16.25
1,280,Bushido and Samurai Code,1,14.25
1,280,Calligraphy and Poetry,2,11.75
1,280,Calligraphy and Poetry,2,9.75
1,280,Calligraphy and Poetry,2,9.25
1,280,Calligraphy and Poetry,2,10.5
1,280,Calligraphy and Poetry,2,9
1,280,Calligraphy and Poetry,2,11
1,280,History of Feudal Japan,2,10
1,280,History of Feudal Japan,2,0
1,280,History of Feudal Japan,2,10
1,280,Kenjutsu and Swordsmanship,2,17
1,280,Kenjutsu and Swordsmanship,2,9.2
1,280,Kenjutsu and Swordsmanship,2,13.9
1,280,Ninjutsu and Stealth Arts,1,11.5
1,280,Ninjutsu and Stealth Arts,1,15
1,280,Ninjutsu and Stealth Arts,1,10.5
1,280,Ninjutsu and Stealth Arts,1,10.5
1,280,Ninjutsu and Stealth Arts,1,12.5
1,280,Ninjutsu and Stealth Arts,1,8
1,280,Ninjutsu and Stealth Arts,1,11.5
1,280,Onmyodo and Occult Arts,1,15
1,280,Onmyodo and Occult Arts,1,8
1,280,Onmyodo and Occult Arts,1,11.5
1,280,Onmyodo and Occult Arts,1,8.5
1,280,Onmyodo and Occult Arts,1,13.5
1,280,Shinto and Buddhist Philosophy,2,9
1,280,Shinto and Buddhist Philosophy,2,14.75
1,280,Shinto and Buddhist Philosophy,2,12.75
1,280,Shinto and Buddhist Philosophy,2,13.5
1,280,Shinto and Buddhist Philosophy,2,10.75
1,280,Shinto and Buddhist Philosophy,2,15
1,280,Strategy and Tactics,2,9
1,280,Strategy and Tactics,2,7.5
1,280,Strategy and Tactics,2,12.5
1,280,Tea Ceremony and Zen Meditation,1,6.5
1,280,Tea Ceremony and Zen Meditation,1,7.25
1,280,Tea Ceremony and Zen Meditation,1,6
1,280,Tea Ceremony and Zen Meditation,1,7.25
1,280,Tea Ceremony and Zen Meditation,1,7
1,335,Archery and Marksmanship,1,7
1,335,Archery and Marksmanship,1,7.25
1,335,Archery and Marksmanship,1,10.75
1,335,Archery and Marksmanship,1,5.25
1,335,Archery and Marksmanship,1,8.75
1,335,Bushido and Samurai Code,1,11.25
1,335,Bushido and Samurai Code,1,10.5
1,335,Bushido and Samurai Code,1,11.5
1,335,Bushido and Samurai Code,1,11.25
1,335,Bushido and Samurai Code,1,10.5
1,335,Bushido and Samurai Code,1,13.25
1,335,Bushido and Samurai Code,1,12.5
1,335,Bushido and Samurai Code,1,12.75
1,335,Calligraphy and Poetry,2,11
1,335,Calligraphy and Poetry,2,10
1,335,Calligraphy and Poetry,2,10.75
1,335,Calligraphy and Poetry,2,10
1,335,Calligraphy and Poetry,2,9.25
1,335,Calligraphy and Poetry,2,9.5
1,335,History of Feudal Japan,2,9
1,335,History of Feudal Japan,2,4.5
1,335,History of Feudal Japan,2,8.5
1,335,Kenjutsu and Swordsmanship,2,14.5
1,335,Kenjutsu and Swordsmanship,2,17.8
1,335,Kenjutsu and Swordsmanship,2,16
1,335,Ninjutsu and Stealth Arts,1,7
1,335,Ninjutsu and Stealth Arts,1,10.5
1,335,Ninjutsu and Stealth Arts,1,8
1,335,Ninjutsu and Stealth Arts,1,9.5
1,335,Ninjutsu and Stealth Arts,1,12.5
1,335,Ninjutsu and Stealth Arts,1,10
1,335,Ninjutsu and Stealth Arts,1,10.5
1,335,Onmyodo and Occult Arts,1,9.5
1,335,Onmyodo and Occult Arts,1,11.5
1,335,Onmyodo and Occult Arts,1,10
1,335,Onmyodo and Occult Arts,1,8.5
1,335,Onmyodo and Occult Arts,1,14
1,335,Onmyodo and Occult Arts,1,11.5
1,335,Shinto and Buddhist Philosophy,2,10.75
1,335,Shinto and Buddhist Philosophy,2,12.75
1,335,Shinto and Buddhist Philosophy,2,16
1,335,Shinto and Buddhist Philosophy,2,19
1,335,Shinto and Buddhist Philosophy,2,17
1,335,Shinto and Buddhist Philosophy,2,10.25
1,335,Strategy and Tactics,2,10.5
1,335,Strategy and Tactics,2,19
1,335,Strategy and Tactics,2,11.5
1,335,Tea Ceremony and Zen Meditation,1,8
1,335,Tea Ceremony and Zen Meditation,1,7
1,335,Tea Ceremony and Zen Meditation,1,8.5
1,335,Tea Ceremony and Zen Meditation,1,6.25
1,335,Tea Ceremony and Zen Meditation,1,8.5
1,350,Archery and Marksmanship,1,6.75
1,350,Archery and Marksmanship,1,10
1,350,Archery and Marksmanship,1,8.75
1,350,Archery and Marksmanship,1,4.5
1,350,Archery and Marksmanship,1,8.25
1,350,Bushido and Samurai Code,1,12.5
1,350,Bushido and Samurai Code,1,11.75
1,350,Bushido and Samurai Code,1,13
1,350,Bushido and Samurai Code,1,11
1,350,Bushido and Samurai Code,1,13
1,350,Bushido and Samurai Code,1,10.75
1,350,Bushido and Samurai Code,1,10
1,350,Bushido and Samurai Code,1,14.75
1,350,Calligraphy and Poetry,2,9.5
1,350,Calligraphy and Poetry,2,9.5
1,350,Calligraphy and Poetry,2,10
1,350,Calligraphy and Poetry,2,11.5
1,350,Calligraphy and Poetry,2,9.25
1,350,Calligraphy and Poetry,2,10.5
1,350,History of Feudal Japan,2,9.5
1,350,History of Feudal Japan,2,7
1,350,History of Feudal Japan,2,14
1,350,Kenjutsu and Swordsmanship,2,11.7
1,350,Kenjutsu and Swordsmanship,2,11
1,350,Kenjutsu and Swordsmanship,2,10.3
1,350,Ninjutsu and Stealth Arts,1,12
1,350,Ninjutsu and Stealth Arts,1,11
1,350,Ninjutsu and Stealth Arts,1,4.5
1,350,Ninjutsu and Stealth Arts,1,10
1,350,Ninjutsu and Stealth Arts,1,11
1,350,Ninjutsu and Stealth Arts,1,11.5
1,350,Ninjutsu and Stealth Arts,1,11.5
1,350,Onmyodo and Occult Arts,1,10.5
1,350,Onmyodo and Occult Arts,1,16
1,350,Onmyodo and Occult Arts,1,11
1,350,Onmyodo and Occult Arts,1,11.5
1,350,Onmyodo and Occult Arts,1,11.5
1,350,Onmyodo and Occult Arts,1,12
1,350,Shinto and Buddhist Philosophy,2,19.5
1,350,Shinto and Buddhist Philosophy,2,11.75
1,350,Shinto and Buddhist Philosophy,2,11.5
1,350,Shinto and Buddhist Philosophy,2,14
1,350,Shinto and Buddhist Philosophy,2,15
1,350,Shinto and Buddhist Philosophy,2,12
1,350,Strategy and Tactics,2,11.5
1,350,Strategy and Tactics,2,13.5
1,350,Strategy and Tactics,2,13
1,350,Tea Ceremony and Zen Meditation,1,6
1,350,Tea Ceremony and Zen Meditation,1,5.25
1,350,Tea Ceremony and Zen Meditation,1,6.75
1,350,Tea Ceremony and Zen Meditation,1,7
1,350,Tea Ceremony and Zen Meditation,1,6.5
1,369,Archery and Marksmanship,1,5.75
1,369,Archery and Marksmanship,1,9
1,369,Archery and Marksmanship,1,5.25
1,369,Archery and Marksmanship,1,3.5
1,369,Archery and Marksmanship,1,7
1,369,Bushido and Samurai Code,1,11
1,369,Bushido and Samurai Code,1,14.5
1,369,Bushido and Samurai Code,1,12.75
